Id,Source,Target,Weight
636,215,206,5
637,47,215,3
638,215,47,3
639,48,215,24
640,215,48,25
641,49,215,17
642,215,49,16
643,50,215,28
644,215,50,29
645,207,215,8
646,215,207,8
647,51,215,3
648,215,51,3
649,53,215,2
650,215,53,2
651,55,215,9
652,215,55,8
653,208,215,1
654,215,208,1
655,209,215,1
656,215,209,1
657,57,215,2
658,215,57,2
659,210,215,2
660,148,215,2
661,215,148,4
662,169,215,5
663,215,169,5
664,170,215,5
665,215,170,5
666,29,215,56
667,215,29,56
668,30,215,12
669,215,30,11
670,59,215,7
671,215,59,6
672,60,215,16
673,215,60,13
674,211,215,3
675,215,211,3
676,173,215,1
677,215,173,1
678,212,215,3
679,215,212,3
680,61,215,20
681,215,61,20
682,62,215,9
683,215,62,9
684,72,215,3
685,215,72,3
686,33,215,2
687,180,215,2
688,215,180,3
689,183,215,6
690,215,183,5
691,214,215,2
692,215,214,2
693,80,34,2
694,34,80,2
695,1,34,16
696,34,1,13
697,215,34,4
698,34,215,4
699,216,34,4
700,34,216,4
701,93,34,1
702,34,93,1
703,95,34,3
704,34,95,3
705,96,34,8
706,34,96,8
707,217,34,1
708,34,217,1
709,35,34,1
710,34,35,1
711,101,34,4
712,34,101,4
713,105,34,1
714,34,105,1
715,37,34,8
716,34,37,8
717,218,34,3
718,34,218,3
719,38,34,8
720,34,38,8
721,76,34,5
722,34,76,5
723,6,34,15
724,34,6,15
725,108,34,2
726,34,108,2
727,9,34,9
728,34,9,4
729,194,34,1
730,34,194,1
731,40,34,3
732,34,40,3
733,16,34,5
734,34,16,5
735,20,34,5
736,34,20,5
737,199,34,4
738,34,199,4
739,42,34,8
740,34,42,7
741,128,34,9
742,34,128,9
743,43,34,1
744,34,43,1
745,129,34,8
746,34,129,8
747,26,34,8
748,34,26,8
749,44,34,16
750,34,44,16
751,219,34,16
752,34,219,16
753,206,34,4
754,34,206,5
755,46,34,3
756,34,46,4
757,48,34,52
758,34,48,52
759,49,34,40
760,34,49,40
761,50,34,16
762,34,50,16
763,207,34,16
764,34,207,16
765,220,34,4
766,34,220,5
767,52,34,5
768,34,52,4
769,54,34,3
770,34,54,3
771,55,34,37
772,34,55,37
773,27,34,1
774,34,27,1
775,149,34,4
