Id,Label,timeset,city,country,name,latitude,longitude,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,componentnumber,strongcompnum,clustering,eigencentrality
859,BJZ,,Badajoz,SPAIN,Badajoz Airport,38.891251,-6.82133,2,0,2,11,0,11,0,0,0,0,8,0,643,1,0.024995
861,EAS,,San Sebastian,SPAIN,San Sebastian Airport,43.35651,-1.79061,2,0,2,61,0,61,0,0,0,0,8,0,640,1,0.024995
854,VLL,,Valladolid,SPAIN,Valladolid Airport,41.706108,-4.85194,2,0,2,15,0,15,0,0,0,0,8,0,109,1,0.019724
862,NDB,,Nouadhibou,MAURITANIA,Nouadhibou International Airport,20.93306,-17.0299,1,0,1,9,0,9,0,0,0,0,8,0,629,0,0.009185
863,VIL,,Dakhla,MOROCCO,Dakhla Airport,23.713333,-15.935,1,0,1,3,0,3,0,0,0,0,8,0,628,0,0.009185
864,EUN,,El Aaiun,MOROCCO,El Aaiun Hassan Airport,27.151661,-13.2191,1,0,1,8,0,8,0,0,0,0,8,0,627,0,0.009185
865,VDE,,El Hierro,SPAIN,El Hierro Airport,27.81484,-17.886999,2,0,2,48,0,48,0,0,0,0,8,0,625,1,0.010825
866,CBB,,Cochabamba,BOLIVIA,Cochabamba Jorge Wilstermann International Airport,-17.421,-66.177101,1,0,1,2,0,2,0,0,0,0,8,0,653,0,0.011878
867,VVI,,Santa Cruz,BOLIVIA,Santa Cruz Viru Viru International Airport,-17.644699,-63.1353,1,0,1,8,0,8,0,0,0,0,8,0,652,0,0.011878
868,CLO,,Cali,COLOMBIA,Cali Alfonso Bonilla Aragon International Airport,3.543056,-76.381599,1,0,1,8,0,8,0,0,0,0,8,0,651,0,0.011878
869,MDE,,Medellin,COLOMBIA,Medellin Jose Maria Cordova International Airport,6.164444,-75.422997,1,0,1,6,0,6,0,0,0,0,8,0,650,0,0.011878
870,GYE,,Guayaquil,ECUADOR,Guayaquil International Airport,-2.15741,-79.883499,1,0,1,5,0,5,0,0,0,0,8,0,649,0,0.011878
871,SSG,,Malabo,EQUATORIAL GUINEA,Malabo International Airport,3.755267,8.708717,1,0,1,4,0,4,0,0,0,0,8,0,647,0,0.011878
872,GUA,,Guatemala City,GUATEMALA,Guatemala City La Aurora International Airport,14.58327,-90.527397,1,0,1,4,0,4,0,0,0,0,8,0,646,0,0.011878
873,SAP,,San Pedro Sula,HONDURAS,San Pedro Sula La Mesa International Airport,15.45263,-87.9235,1,0,1,1,0,1,0,0,0,0,8,0,645,0,0.011878
874,ASU,,Asuncion,PARAGUAY,Asuncion Silvio Pettirossi International Airport,-25.239799,-57.5191,1,0,1,4,0,4,0,0,0,0,8,0,644,0,0.011878
875,RJL,,Logrono,SPAIN,Logrono Agoncillo Airport,42.460953,-2.322235,1,0,1,7,0,7,0,0,0,0,8,0,642,0,0.011878
876,MLN,,Melilla,SPAIN,Melilla Airport,35.279812,-2.95625,2,0,2,78,0,78,0,0,0,0,8,0,641,1,0.022734
877,MVD,,Montevideo,URUGUAY,Montevideo Carrasco International Airport,-34.838402,-56.0308,1,0,1,10,0,10,0,0,0,0,8,0,122,0,0.011878
879,ILD,,Lleida,SPAIN,Lleida Alguaire Airport,41.726925,0.539164,2,0,2,3,0,3,0,0,0,0,8,0,624,1,0.01602
881,GMZ,,La Gomera,SPAIN,La Gomera Airport,28.016666,-17.200001,1,0,1,16,0,16,0,0,0,0,8,0,656,0,0.00164
882,SDL,,Sundsvall,SWEDEN,Sundsvall Timra Airport,62.528118,17.44392,4,0,4,64,0,64,0,0,0,0,7,0,115,0.833333,0.02002
883,CBG,,Cambridge,UNITED KINGDOM,Cambridge Airport,52.205002,0.175,2,0,2,6,0,6,0,0,0,0,7,0,112,0,0.018097
884,AGH,,Angelholm,SWEDEN,Angelholm Helsingborg Airport,56.29607,12.84713,2,0,2,67,0,67,0,0,0,0,7,0,655,0,0.010722
885,HFS,,Hagfors,SWEDEN,Hagfors Airport,60.020061,13.5789,1,0,1,8,0,8,0,0,0,0,7,0,665,0,0.010152
886,KRN,,Kiruna,SWEDEN,Kiruna Airport,67.821983,20.33676,1,0,1,18,0,18,0,0,0,0,7,0,664,0,0.010152
887,KRF,,Kramfors,SWEDEN,Kramfors Hoga Kusten Airport,63.048592,17.76885,1,0,1,11,0,11,0,0,0,0,7,0,663,0,0.010152
888,KID,,Kristianstad,SWEDEN,Kristianstad Osterlen Airport,55.92168,14.08553,1,0,1,23,0,23,0,0,0,0,7,0,662,0,0.010152
889,LYC,,Lycksele,SWEDEN,Lycksele Airport,64.548317,18.716209,1,0,1,12,0,12,0,0,0,0,7,0,661,0,0.010152
890,OER,,Ornskoldsvik,SWEDEN,Ornskoldsvik Airport,63.408329,18.99003,1,0,1,39,0,39,0,0,0,0,7,0,660,0,0.010152
891,OSD,,Ostersund,SWEDEN,Ostersund Are Airport,63.194118,14.502,2,0,2,62,0,62,0,0,0,0,7,0,118,0,0.010722
892,RNB,,Ronneby,SWEDEN,Ronneby Airport,56.266659,15.265,2,0,2,47,0,47,0,0,0,0,7,0,117,0,0.010722
893,SFT,,Skelleftea,SWEDEN,Skelleftea Airport,64.624771,21.076891,1,0,1,49,0,49,0,0,0,0,7,0,659,0,0.010152
894,EVG,,Sveg,SWEDEN,Sveg Harjedalen Airport,62.04781,14.42295,1,0,1,12,0,12,0,0,0,0,7,0,658,0,0.010152
895,VHM,,Vilhelmina,SWEDEN,Vilhelmina Airport,64.579079,16.83357,1,0,1,11,0,11,0,0,0,0,7,0,657,0,0.010152
896,HAD,,Halmstad,SWEDEN,Halmstad Airport,56.69112,12.82021,1,0,1,27,0,27,0,0,0,0,7,0,654,0,0.00057
897,THN,,Trollhattan,SWEDEN,Trollhattan Vanersborg Airport,58.31805,12.345,1,0,1,17,0,17,0,0,0,0,7,0,116,0,0.00057
898,EBA,,Elba,ITALY,Elba Marina di Campo Airport,42.760269,10.23944,1,0,1,4,0,4,0,0,0,0,0,0,623,0,0.001621
899,LUG,,Lugano,SWITZERLAND,Lugano Airport,46.004269,8.910578,1,1,2,32,32,64,4,0.344448,0.355905,0,0,0,724,0,0.01118
902,MED,,Medina,SAUDI ARABIA,Medina Prince Mohammad bin Abdulaziz Airport,24.553419,39.705059,6,0,6,60,0,60,0,0,0,0,2,0,101,0.966667,0.030589
900,ECN,,Tymvou,TURKEY,Tymvou Ercan International Airport,35.15472,33.496109,6,0,6,249,0,249,0,0,0,0,2,0,69,0.966667,0.030589
901,VAN,,Van,TURKEY,Van Airport,38.468208,43.332298,6,0,6,96,0,96,0,0,0,0,2,0,68,0.966667,0.030589
903,ADF,,Adiyaman,TURKEY,Adiyaman Airport,37.731361,38.468929,3,0,3,22,0,22,0,0,0,0,2,0,100,0.833333,0.017885
904,AJI,,Agri,TURKEY,Agri Airport,39.65456,43.027149,3,0,3,20,0,20,0,0,0,0,2,0,99,0.833333,0.017885
905,HTY,,Antakya,TURKEY,Antakya Hatay Airport,36.362778,36.282223,4,0,4,69,0,69,0,0,0,0,2,0,98,0.916667,0.021677
906,BAL,,Batman,TURKEY,Batman Airport,37.928959,41.116581,4,0,4,47,0,47,0,0,0,0,2,0,97,0.916667,0.021677
907,BGG,,Bingol,TURKEY,Bingol Airport,38.861111,40.592499,3,0,3,17,0,17,0,0,0,0,2,0,96,0.833333,0.017885
908,YEI,,Bursa,TURKEY,Bursa Yenisehir Airport,40.255001,29.5625,2,0,2,9,0,9,0,0,0,0,2,0,666,1,0.002851
909,CKZ,,Canakkale,TURKEY,Canakkale Airport,40.137718,26.426769,2,0,2,18,0,18,0,0,0,0,2,0,670,1,0.012036
910,DIY,,Diyarbakir,TURKEY,Diyarbakır Airport,37.89389,40.201012,5,0,5,145,0,145,0,0,0,0,2,0,94,0.95,0.029274
911,EDO,,Edremit,TURKEY,Edremit Balikesir Koca Seyit Airport,39.549999,27.01,3,0,3,43,0,43,0,0,0,0,2,0,93,0.833333,0.017885
912,ERC,,Erzincan,TURKEY,Erzincan Airport,39.710201,39.527,3,0,3,36,0,36,0,0,0,0,2,0,91,0.833333,0.017885
913,ERZ,,Erzurum,TURKEY,Erzurum Airport,39.956501,41.170158,5,0,5,90,0,90,0,0,0,0,2,0,90,0.95,0.029274
914,IGD,,Igdir,TURKEY,Igdir Airport,39.983055,43.86639,3,0,3,19,0,19,0,0,0,0,2,0,88,0.833333,0.017885
915,KCM,,Kahramanmaras,TURKEY,Kahramanmaras Airport,37.534401,36.9505,3,0,3,28,0,28,0,0,0,0,2,0,87,0.833333,0.017885
916,KSY,,Kars,TURKEY,Kars Harakani Airport,40.562222,43.115002,4,0,4,40,0,40,0,0,0,0,2,0,86,0.916667,0.021677
917,MLX,,Malatya,TURKEY,Malatya Erhac Airport,38.435341,38.091,5,0,5,62,0,62,0,0,0,0,2,0,82,0.95,0.029274
918,MQM,,Mardin,TURKEY,Mardin Airport,37.223331,40.63166,4,0,4,49,0,49,0,0,0,0,2,0,81,0.916667,0.021677
919,MSR,,Mus,TURKEY,Mus Airport,38.747761,41.661228,3,0,3,25,0,25,0,0,0,0,2,0,79,0.833333,0.017885
920,OGU,,Ordu,TURKEY,Ordu Giresun Airport,40.966667,38.066666,4,0,4,81,0,81,0,0,0,0,2,0,76,0.916667,0.021677
921,GNY,,Sanliurfa,TURKEY,Sanliurfa GAP Airport,37.450001,38.900002,4,0,4,66,0,66,0,0,0,0,2,0,74,0.916667,0.021677
922,NKT,,Sirnak,TURKEY,Sirnak Airport,37.363888,42.060001,3,0,3,29,0,29,0,0,0,0,2,0,72,0.833333,0.017885
923,TEQ,,Tekirdag,TURKEY,Tekirdag Corlu Airport,41.138332,27.919167,1,0,1,8,0,8,0,0,0,0,2,0,669,0,0.002139
924,YKO,,Yuksekova,TURKEY,Yuksekova Hakkari Airport,37.545242,44.255165,2,0,2,16,0,16,0,0,0,0,2,0,668,1,0.012036
925,AWZ,,Ahvaz,IRAN,Ahwaz International Airport,31.337429,48.761951,1,0,1,4,0,4,0,0,0,0,2,0,689,0,0.009897
