Id,City,Country,Label,Name,latitude,longitude
217,Hurghada,EGYPT,HRG,Hurghada International Airport,27.178310,33.799431
218,Batumi,GEORGIA,BUS,Batumi International Airport,41.610271,41.599689
219,Kaliningrad,RUSSIA,KGD,Kaliningrad Khrabrovo Airport,54.890049,20.592630
220,Nizhny Novgorod,RUSSIA,GOJ,Nizhny Novgorod International Airport,56.230110,43.784039
221,Kharkiv,UKRAINE,HRK,Kharkiv International Airport,49.924782,36.289982
222,Zaporizhia,UKRAINE,OZH,Zaporizhia International Airport,47.867001,35.315689
223,Nador,MOROCCO,NDR,Nador International Airport,34.988888,-3.028333
224,Alicante,SPAIN,ALC,Alicante Airport,38.282162,-0.558150
225,Murcia,SPAIN,MJV,Murcia San Javier Airport,37.774971,-0.812380
226,London,UNITED KINGDOM,LCY,London City Airport,51.505268,0.055278
227,Luanda,ANGOLA,LAD,Luanda Quatro de Fevereiro Airport,-8.858370,13.231170
228,Ouagadougou,BURKINA FASO,OUA,Ouagadougou Airport,12.353190,-1.512410
229,Bujumbura,BURUNDI,BJM,Bujumbura International Airport,-3.324010,29.318510
230,Douala,CAMEROON,DLA,Douala International Airport,4.006081,9.719481
231,Montreal,CANADA,YUL,Montreal Pierre Elliott Trudeau Airport,45.470551,-73.740799
232,Boa Vista,CAPE VERDE,BVC,Boa Vista Rabil Airport,16.136530,-22.888800
233,Shenzhen,CHINA,SZX,Shenzhen Bao'an International Airport,22.639250,113.810600
234,Tianjin,CHINA,TSN,Tianjin Binhai International Airport,39.124352,117.346100
235,Abidjan,COTE D'IVOIRE (IVORY COAST),ABJ,Abidjan Port Bouet Airport,5.261386,-3.926290
236,Bol,CROATIA,BWK,Bol Brac Airport,43.285702,16.679701
237,Zadar,CROATIA,ZAD,Zadar Airport,44.108261,15.346690
238,Varadero,CUBA,VRA,Varadero Juan Gualberto Gomez Airport,23.034439,-81.435204
239,Pafos,CYPRUS,PFO,Paphos International Airport,34.718029,32.485729
240,Kinshasa,DEMOCRATIC REPUBLIC OF THE CONGO,FIH,Kinshasa N'Djili Airport,-4.385750,15.444560
241,Billund,DENMARK,BLL,Billund Airport,55.740318,9.151778
242,Punta Cana,DOMINICAN REPUBLIC,PUJ,Punta Cana International Airport,18.567360,-68.363403
243,Santo Domingo,DOMINICAN REPUBLIC,SDQ,Santo Domingo Las Americas International Airport,18.429661,-69.668900
244,Marsa Alam,EGYPT,RMF,Marsa Alam International Airport,25.557110,34.583710
245,Ajaccio,FRANCE,AJA,Ajaccio Napoleon Bonaparte Airport,41.923882,8.802500
246,Bastia,FRANCE,BIA,Bastia Poretta Airport,42.549999,9.484722
247,Bordeaux,FRANCE,BOD,Bordeaux Merignac Airport,44.828609,-0.715270
248,Figari,FRANCE,FSC,Figari Sud-Corse Airport,41.502220,9.096667
249,Strasbourg,FRANCE,SXB,Strasbourg Airport,48.543610,7.637222
250,Tarbes,FRANCE,LDE,Tarbes-Lourdes-Pyrenees Airport,43.185551,-0.002770
