,from_airports_list,to_airports_list,departure_delay_time_list,departure_delay_list,arrival_delay_time_list,arrival_delay_list,flight_code_list
7926,LTN,OLB,-2963.0,True,-794.0,True,U22181
7927,PMO,VIE,-515.0,True,1122.0,False,FR7317
7928,VIE,PMO,-235.0,True,2126.0,False,FR7316
7929,PMO,CRL,-554.0,True,351.0,False,FR9141
7930,CRL,PMO,-47.0,True,1992.0,False,FR9140
7931,PMO,BVA,-1182.0,True,-183.0,True,FR4932
7932,BVA,PMO,-1101.0,True,138.0,False,FR4933
7933,PMO,CDG,-1167.0,True,332.0,False,AF1009
7934,CDG,PMO,-1156.0,True,748.0,False,AF1008
7935,PMO,ORY,-725.0,True,737.0,False,TO3811
7936,PMO,ORY,91.0,False,1252.0,False,TO3819
7937,ORY,PMO,-1688.0,True,53.0,False,TO3810
7938,ORY,PMO,-666.0,True,1218.0,False,TO3818
7939,PMO,CGN,-1143.0,True,-4.0,True,FR5277
7940,CGN,PMO,-626.0,True,926.0,False,FR5276
7941,PMO,DUS,-1211.0,True,283.0,False,FR7588
7942,DUS,PMO,-853.0,True,1388.0,False,FR7587
7943,PMO,FRA,-146.0,True,1347.0,False,LH339
7944,FRA,PMO,-235.0,True,1585.0,False,LH338
7945,PMO,MUC,-138.0,True,982.0,False,LH1917
7946,MUC,PMO,-834.0,True,769.0,False,LH1916
7947,PMO,AOI,-984.0,True,105.0,False,V71510
7948,AOI,PMO,-738.0,True,625.0,False,V71511
7949,PMO,BRI,-615.0,True,788.0,False,V71760
7950,BRI,PMO,0.0,False,1702.0,False,V71761
7951,PMO,BLQ,-3941.0,True,-2680.0,True,FR4342
7952,BLQ,PMO,-861.0,True,980.0,False,FR4341
7953,PMO,CAG,-409.0,True,1058.0,False,V71568
7954,CAG,PMO,-742.0,True,983.0,False,V71569
7955,GOA,PMO,391.0,False,2082.0,False,V71521
7956,PMO,LMP,-11600.0,True,-11116.0,True,DX1803
7957,PMO,BGY,241.0,False,1753.0,False,FR6452
7958,BGY,PMO,230.0,False,1498.0,False,FR6451
7959,PMO,MXP,-299.0,True,584.0,False,AZ1760
7960,PMO,MXP,-499.0,True,307.0,False,AZ1762
7961,PMO,MXP,-380.0,True,321.0,False,AZ1764
7962,PMO,MXP,-576.0,True,245.0,False,AZ1790
7963,PMO,MXP,-143.0,True,786.0,False,FR1441
7964,PMO,MXP,-2162.0,True,-1053.0,True,U22806
7965,PMO,MXP,-681.0,True,217.0,False,U22812
7966,MXP,PMO,-685.0,True,642.0,False,AZ1763
7967,MXP,PMO,-908.0,True,710.0,False,AZ1765
7968,MXP,PMO,-1800.0,True,-145.0,True,AZ1775
7969,MXP,PMO,-1283.0,True,388.0,False,AZ1793
7970,MXP,PMO,-574.0,True,975.0,False,FR1440
7971,MXP,PMO,-1207.0,True,170.0,False,U22805
7972,MXP,PMO,-1176.0,True,587.0,False,U22811
7973,PMO,NAP,-886.0,True,705.0,False,U24864
7974,PMO,NAP,0.0,False,660.0,False,V71546
7975,PMO,NAP,-766.0,True,130.0,False,V71578
7976,NAP,PMO,-1483.0,True,402.0,False,U24863
7977,NAP,PMO,0.0,False,454.0,False,V71547
7978,NAP,PMO,-1776.0,True,-537.0,True,V71579
7979,PMO,OLB,-370.0,True,658.0,False,V71540
7980,OLB,PMO,0.0,False,664.0,False,V71541
7981,PMO,PNL,0.0,False,-184.0,True,DX1821
