,from_airports_list,to_airports_list,departure_delay_time_list,departure_delay_list,arrival_delay_time_list,arrival_delay_list
186,VIE,TLV,-2866.0,True,-1079.0,True
187,TLV,VIE,-2331.0,True,-4556.0,True
188,VIE,AHO,-620.0,True,892.0,False
189,AHO,VIE,216.0,False,1941.0,False
190,VIE,BLQ,457.0,False,401.0,False
191,BLQ,VIE,214.0,False,1008.0,False
192,BLQ,VIE,3.0,False,754.0,False
193,VIE,CTA,-509.0,True,1503.0,False
194,CTA,VIE,-123.0,True,2057.0,False
195,VIE,BGY,-429.0,True,1314.0,False
196,BGY,VIE,-201.0,True,1638.0,False
197,VIE,MXP,272.0,False,263.0,False
198,VIE,MXP,-1357.0,True,-1146.0,True
199,HAN,DEL,874.0,False,2315.0,False
200,ICN,HAN,-1898.0,True,733.0,False
201,VIE,MXP,-462.0,True,627.0,False
202,VIE,MXP,90.0,False,1024.0,False
203,MXP,VIE,-634.0,True,245.0,False
204,MXP,VIE,-611.0,True,290.0,False
205,MXP,VIE,-810.0,True,1065.0,False
206,MXP,VIE,-185.0,True,1344.0,False
207,NAP,VIE,-4214.0,True,-2785.0,True
208,VIE,PMO,-431.0,True,1444.0,False
209,PMO,VIE,-209.0,True,1863.0,False
210,VIE,FCO,-361.0,True,1105.0,False
211,VIE,FCO,-1490.0,True,1283.0,False
212,VIE,FCO,-164.0,True,1642.0,False
213,FCO,VIE,-489.0,True,1061.0,False
214,FCO,VIE,-1347.0,True,281.0,False
215,FCO,VIE,-314.0,True,1585.0,False
216,VIE,VCE,-293.0,True,-294.0,True
217,VIE,RIX,-570.0,True,919.0,False
218,RIX,VIE,-268.0,True,892.0,False
219,VIE,LUX,-146.0,True,-107.0,True
220,VIE,LUX,144.0,False,717.0,False
221,LUX,VIE,-154.0,True,1463.0,False
222,LUX,VIE,-630.0,True,904.0,False
223,VIE,MLA,-240.0,True,952.0,False
224,MLA,VIE,-501.0,True,1125.0,False
225,VIE,AMS,-314.0,True,714.0,False
226,VIE,AMS,-1282.0,True,88.0,False
227,VIE,AMS,-951.0,True,762.0,False
228,AMS,VIE,-742.0,True,1446.0,False
229,AMS,VIE,-1578.0,True,345.0,False
230,AMS,VIE,-509.0,True,981.0,False
231,ICN,VIE,587.0,False,1933.0,False
232,VIE,OSL,-548.0,True,1200.0,False
233,OSL,VIE,-689.0,True,608.0,False
234,VIE,WAW,-120.0,True,1189.0,False
235,VIE,WAW,-270.0,True,849.0,False
236,VIE,WAW,-183.0,True,689.0,False
237,WAW,VIE,-671.0,True,1027.0,False
238,WAW,VIE,14.0,False,1382.0,False
239,WAW,VIE,-316.0,True,318.0,False
240,VIE,KSC,-296.0,True,624.0,False
241,KSC,VIE,725.0,False,1296.0,False
242,VIE,ALC,-625.0,True,-491.0,True
243,VIE,ALC,-1065.0,True,-269.0,True
244,ALC,VIE,-2247.0,True,-358.0,True
245,ALC,VIE,-2835.0,True,-390.0,True
246,VIE,BCN,-348.0,True,546.0,False
247,VIE,BCN,-558.0,True,574.0,False
248,BCN,VIE,-939.0,True,1305.0,False
249,BCN,VIE,-254.0,True,2083.0,False
250,VIE,MAD,9531.0,False,11409.0,False
251,VIE,MAD,-323.0,True,802.0,False
252,VIE,MAD,-566.0,True,427.0,False
253,MAD,VIE,-1429.0,True,521.0,False
254,MAD,VIE,-1398.0,True,974.0,False
255,VIE,AGP,-427.0,True,344.0,False
256,AGP,VIE,-684.0,True,1504.0,False
257,VIE,PMI,-236.0,True,351.0,False
258,PMI,VIE,40.0,False,1922.0,False
259,VIE,SVQ,-523.0,True,-371.0,True
260,SVQ,VIE,-1393.0,True,-184.0,True
261,VIE,TFS,-1169.0,True,89.0,False
262,TFS,VIE,-1127.0,True,1153.0,False
263,VIE,GVA,-2202.0,True,-796.0,True
264,GVA,VIE,-1177.0,True,828.0,False
265,ACH,VIE,-142.0,True,417.0,False
266,VIE,ZRH,-12.0,True,1311.0,False
267,VIE,ZRH,-978.0,True,102.0,False
268,VIE,ZRH,-309.0,True,-186.0,True
269,VIE,ZRH,-262.0,True,1018.0,False
270,ZRH,VIE,-255.0,True,1561.0,False
271,ZRH,VIE,-635.0,True,802.0,False
272,ZRH,VIE,-540.0,True,-149.0,True
273,ZRH,VIE,-982.0,True,387.0,False
274,BKK,VIE,-1329.0,True,-849.0,True
275,VIE,IST,-1719.0,True,1031.0,False
276,IST,VIE,-834.0,True,1017.0,False
277,VIE,SAW,-721.0,True,1430.0,False
278,VIE,SAW,-709.0,True,1212.0,False
279,SAW,VIE,-934.0,True,710.0,False
280,SAW,VIE,-889.0,True,633.0,False
281,VIE,IAD,-109.0,True,1341.0,False
282,IAD,VIE,552.0,False,3656.0,False
283,GYD,PVG,-42904.0,True,-41815.0,True
284,HKG,GYD,-11294.0,True,-7862.0,True
285,GYD,ALA,-3998.0,True,-3004.0,True
286,GYD,IST,-1224.0,True,75.0,False
287,IST,GYD,-1576.0,True,1684.0,False
288,MSQ,TIA,-790.0,True,-456.0,True
289,TIA,MSQ,-1459.0,True,-640.0,True
290,MSQ,EVN,-628.0,True,834.0,False
291,EVN,MSQ,-928.0,True,189.0,False
292,MSQ,CDG,-244.0,True,217.0,False
293,CDG,MSQ,-2857.0,True,-461.0,True
294,MSQ,SXF,-252.0,True,765.0,False
295,SXF,MSQ,-644.0,True,261.0,False
296,MSQ,HAJ,56.0,False,986.0,False
297,HAJ,MSQ,-456.0,True,1146.0,False
298,MSQ,TLV,143.0,False,1514.0,False
299,TLV,MSQ,-104.0,True,1649.0,False
300,MSQ,KIV,393.0,False,1490.0,False
301,KIV,MSQ,-109.0,True,739.0,False
302,MSQ,AMS,-58.0,True,975.0,False
303,MSQ,AMS,-440.0,True,873.0,False
304,AMS,MSQ,-814.0,True,789.0,False
305,AMS,MSQ,-1189.0,True,762.0,False
306,MSQ,ARN,-307.0,True,998.0,False
307,ARN,MSQ,-1001.0,True,-515.0,True
308,MSQ,AYT,-235.0,True,854.0,False
309,MSQ,AYT,-467.0,True,419.0,False
310,AYT,MSQ,257.0,False,833.0,False
311,AYT,MSQ,-536.0,True,-50.0,True
312,MSQ,IST,-1002.0,True,308.0,False
313,IST,MSQ,-916.0,True,1065.0,False
314,MSQ,KBP,159.0,False,975.0,False
315,MSQ,KBP,304.0,False,917.0,False
316,KBP,MSQ,-507.0,True,380.0,False
317,KBP,MSQ,683.0,False,1582.0,False
318,MSQ,IEV,-298.0,True,652.0,False
319,IEV,MSQ,-50.0,True,677.0,False
320,MSQ,ODS,-389.0,True,778.0,False
321,ODS,MSQ,643.0,False,1519.0,False
322,ANR,ALC,-1464.0,True,-906.0,True
323,ALC,ANR,-1784.0,True,95.0,False
324,ANR,AGP,-641.0,True,-535.0,True
325,AGP,ANR,-1515.0,True,385.0,False
326,BRU,TIA,-1524.0,True,211.0,False
327,TIA,BRU,-205.0,True,1074.0,False
328,BRU,VIE,-562.0,True,1041.0,False
329,BRU,VIE,-234.0,True,1777.0,False
330,ADD,VIE,-4506.0,True,-2909.0,True
331,VIE,BRU,-163.0,True,761.0,False
332,VIE,BRU,-1079.0,True,175.0,False
333,COO,BRU,-1710.0,True,843.0,False
334,ABJ,COO,-1005.0,True,361.0,False
335,BRU,BOJ,-662.0,True,1821.0,False
336,BOJ,BRU,577.0,False,937.0,False
337,BRU,XIY,-4908.0,True,300.0,False
338,BRU,XIY,-4908.0,True,300.0,False
