,from_airports_list,to_airports_list,departure_delay_time_list,departure_delay_list,arrival_delay_time_list,arrival_delay_list,flight_code_list
242,AMS,SOF,-109.0,True,1512.0,False,FB462
243,SOF,WAW,-1149.0,True,28.0,False,LO632
244,WAW,SOF,-2502.0,True,-470.0,True,LO631
245,SOF,IST,-1035.0,True,640.0,False,TK1028
246,IST,SOF,-1319.0,True,-41.0,True,TK1027
247,SOF,KBP,0.0,False,-659.0,True,7W756
248,KBP,SOF,-279.0,True,400.0,False,7W755
249,SOF,DXB,-872.0,True,770.0,False,FZ1758
250,DXB,SOF,-810.0,True,1525.0,False,FZ1757
251,SOF,LTN,-2705.0,True,-1547.0,True,W64301
252,LTN,SOF,-3027.0,True,-1164.0,True,W64302
253,VAR,SOF,366.0,False,1230.0,False,FB972
254,SOF,VAR,-1670.0,True,-858.0,True,FB973
255,DBV,ZAG,83.0,False,-130.0,True,OU661
256,DBV,ZAG,913.0,False,1774.0,False,OU665
257,ZAG,DBV,280.0,False,1325.0,False,OU662
258,ZAG,DBV,-232.0,True,767.0,False,OU664
259,SPU,ZAG,-748.0,True,-260.0,True,OU651
260,SPU,ZAG,328.0,False,1101.0,False,OU655
261,ZAG,SPU,-11.0,True,810.0,False,OU654
262,ZAG,SPU,603.0,False,966.0,False,OU656
263,ZAG,DBV,280.0,False,1325.0,False,OU662
264,ZAG,DBV,-232.0,True,767.0,False,OU664
265,DBV,ZAG,83.0,False,-130.0,True,OU661
266,DBV,ZAG,913.0,False,1774.0,False,OU665
267,ZAG,OSI,554.0,False,1710.0,False,C3812
268,ZAG,OSI,493.0,False,1555.0,False,C3814
269,OSI,ZAG,56.0,False,561.0,False,C3811
270,OSI,ZAG,534.0,False,1003.0,False,C3813
271,ZAG,SPU,-11.0,True,810.0,False,OU654
272,ZAG,SPU,603.0,False,966.0,False,OU656
273,SPU,ZAG,-748.0,True,-260.0,True,OU651
274,SPU,ZAG,328.0,False,1101.0,False,OU655
275,ZAG,CPH,-630.0,True,328.0,False,OU480
276,CPH,ZAG,-396.0,True,916.0,False,OU481
277,ZAG,CDG,-848.0,True,654.0,False,AF1561
278,CDG,ZAG,-1641.0,True,-163.0,True,AF1560
279,ZAG,CGN,-3034.0,True,-2131.0,True,WT1275
280,BEG,ZAG,86.0,False,1511.0,False,WT1275
281,ZAG,BEG,368.0,False,2281.0,False,WT1276
282,CGN,ZAG,-666.0,True,917.0,False,WT1276
283,ZAG,FRA,25.0,False,925.0,False,OU410
284,ZAG,FRA,-420.0,True,606.0,False,OU416
285,FRA,ZAG,-724.0,True,524.0,False,OU409
286,FRA,ZAG,-1221.0,True,-477.0,True,OU417
287,ZAG,AMS,-980.0,True,686.0,False,OU450
288,AMS,ZAG,-647.0,True,1235.0,False,OU451
289,ZAG,BEG,368.0,False,2281.0,False,WT1276
290,CGN,ZAG,-666.0,True,917.0,False,WT1276
291,ZAG,CGN,-3034.0,True,-2131.0,True,WT1275
292,BEG,ZAG,86.0,False,1511.0,False,WT1275
293,ZAG,IST,-7477.0,True,-5657.0,True,TK1054
294,IST,ZAG,-7507.0,True,-6826.0,True,TK1053
295,ZAG,KBP,-741.0,True,-419.0,True,7W766
296,KBP,ZAG,-1344.0,True,-672.0,True,7W765
297,LCA,VIE,-803.0,True,-142.0,True,OS832
298,LCA,ATH,-1021.0,True,-384.0,True,OA901
