,from_airports_list,to_airports_list,departure_delay_time_list,departure_delay_list,arrival_delay_time_list,arrival_delay_list,flight_code_list
5307,OVB,DME,-759.0,True,1000.0,False,5N238
5308,OVB,DME,-2015.0,True,-440.0,True,WZ438
5309,OVB,DME,-320.0,True,2272.0,False,S72502
5310,OVB,DME,-937.0,True,1140.0,False,S72508
5311,OVB,DME,-120.0,True,2507.0,False,S72510
5312,OVB,DME,-893.0,True,1557.0,False,S72514
5313,DME,NUX,-396.0,True,799.0,False,S72571
5314,NUX,DME,-3271.0,True,-1745.0,True,S72572
5315,DME,NOJ,-261.0,True,540.0,False,YC419
5316,DME,OMS,-1555.0,True,-1281.0,True,U6387
5317,PEE,OMS,-350.0,True,-358.0,True,S72563
5318,DME,OMS,-904.0,True,-114.0,True,S72565
5319,OMS,DME,-2511.0,True,-667.0,True,U6388
5320,OMS,DME,-6116.0,True,-4483.0,True,S72564
5321,OMS,DME,-283.0,True,1676.0,False,S72566
5322,DME,REN,-329.0,True,854.0,False,5N231
5323,REN,DME,70.0,False,1540.0,False,5N232
5324,DME,PEZ,-1050.0,True,355.0,False,S71191
5325,DME,PEZ,-571.0,True,1024.0,False,S71195
5326,PEZ,DME,-900.0,True,985.0,False,S71192
5327,PEZ,DME,-1200.0,True,-275.0,True,S71196
5328,DME,PEE,-2829.0,True,-1879.0,True,S71157
5329,DME,PEE,-818.0,True,477.0,False,S71159
5330,PEE,DME,-3542.0,True,-1629.0,True,S71158
5331,PEE,DME,-2472.0,True,-40.0,True,S71160
5332,DME,TJM,-905.0,True,-334.0,True,U6341
5333,TJM,DME,-961.0,True,845.0,False,U6342
5334,DME,ROV,-655.0,True,-147.0,True,5N273
5335,DME,ROV,-269.0,True,975.0,False,S72123
5336,DME,ROV,-2095.0,True,-530.0,True,S72125
5337,DME,ROV,-872.0,True,708.0,False,S72127
5338,ROV,DME,-717.0,True,819.0,False,5N274
5339,ROV,DME,-329.0,True,771.0,False,S72124
5340,ROV,DME,-1384.0,True,-145.0,True,S72126
5341,ROV,DME,-233.0,True,955.0,False,S72128
5342,NYM,SLY,2.0,False,-683.0,True,YC32
5343,SLY,DME,-10632.0,True,-10595.0,True,YC31
5344,DME,KUF,-339.0,True,973.0,False,S71071
5345,DME,KUF,-492.0,True,890.0,False,S71073
5346,DME,KUF,-462.0,True,1096.0,False,S71075
5347,DME,KUF,-1116.0,True,429.0,False,S71079
5348,KUF,DME,78.0,False,1804.0,False,S71074
5349,KUF,DME,36.0,False,1730.0,False,S71076
5350,KUF,DME,-71.0,True,1725.0,False,S71080
5351,DME,AER,31.0,False,708.0,False,6R533
5352,DME,AER,-1016.0,True,-602.0,True,RL707
5353,DME,AER,-790.0,True,-427.0,True,U6277
5354,DME,AER,-1179.0,True,-604.0,True,U6279
5355,DME,AER,-371.0,True,243.0,False,U6377
5356,DME,AER,-365.0,True,402.0,False,U6407
5357,DME,AER,-3317.0,True,-2779.0,True,U6447
5358,DME,AER,-351.0,True,759.0,False,WZ125
5359,DME,AER,-399.0,True,691.0,False,S72041
5360,DME,AER,-770.0,True,366.0,False,S72043
5361,DME,AER,-578.0,True,652.0,False,S72045
5362,DME,AER,-1565.0,True,-306.0,True,S72047
5363,DME,AER,-2021.0,True,-782.0,True,S72049
5364,DME,AER,-423.0,True,705.0,False,S72051
5365,DME,AER,-631.0,True,518.0,False,S72053
5366,DME,AER,-1137.0,True,21.0,False,S72055
5367,DME,AER,-1051.0,True,1106.0,False,Y71031
5368,AER,DME,-77.0,True,1339.0,False,6R534
5369,AER,DME,10438.0,False,87406.0,False,RL708
5370,AER,DME,-888.0,True,230.0,False,U6278
5371,AER,DME,-587.0,True,753.0,False,U6280
5372,AER,DME,-455.0,True,867.0,False,U6378
5373,AER,DME,-1270.0,True,85.0,False,U6408
5374,AER,DME,-3641.0,True,-2371.0,True,U6448
5375,AER,DME,-52.0,True,1239.0,False,WZ126
5376,AER,DME,-272.0,True,1245.0,False,S72042
5377,AER,DME,-944.0,True,529.0,False,S72044
5378,AER,DME,-20.0,True,1957.0,False,S72046
5379,AER,DME,-2097.0,True,-193.0,True,S72048
5380,AER,DME,-2072.0,True,-227.0,True,S72050
5381,AER,DME,-4.0,True,1857.0,False,S72052
5382,AER,DME,-852.0,True,1098.0,False,S72054
5383,AER,DME,-824.0,True,1081.0,False,S72056
5384,AER,DME,-104.0,True,2473.0,False,Y71032
5385,DME,LED,-953.0,True,-158.0,True,U659
5386,DME,LED,-4290.0,True,-2552.0,True,U679
5387,DME,LED,-583.0,True,1331.0,False,S71005
5388,DME,LED,-512.0,True,1681.0,False,S71011
5389,DME,LED,-850.0,True,1043.0,False,S71013
5390,DME,LED,-1165.0,True,980.0,False,S71015
5391,DME,LED,-397.0,True,1663.0,False,S71017
5392,DME,LED,-634.0,True,1176.0,False,S71019
5393,DME,LED,-1862.0,True,78.0,False,S71027
5394,LED,DME,-1276.0,True,-582.0,True,U660
5395,LED,DME,-4160.0,True,-2922.0,True,U680
5396,LED,DME,-348.0,True,443.0,False,S71006
5397,LED,DME,-966.0,True,22.0,False,S71012
5398,LED,DME,-67.0,True,250.0,False,S71014
5399,LED,DME,-1417.0,True,-698.0,True,S71016
5400,LED,DME,-305.0,True,-41.0,True,S71018
5401,LED,DME,-174.0,True,1055.0,False,S71020
5402,LED,DME,-432.0,True,-227.0,True,S71028
5403,LED,DME,-3529.0,True,-1721.0,True,Y71062
5404,DME,STW,-689.0,True,1060.0,False,S72135
5405,STW,DME,-21.0,True,1158.0,False,S72136
5406,DME,TOF,-1105.0,True,-604.0,True,U611
5407,DME,TOF,-661.0,True,-119.0,True,S72613
5408,TOF,DME,-1398.0,True,674.0,False,U612
5409,TOF,DME,-3071.0,True,-1144.0,True,S72614
5410,DME,UFA,-798.0,True,376.0,False,S71131
5411,DME,UFA,-574.0,True,340.0,False,S71133
5412,DME,UFA,-674.0,True,438.0,False,S71135
5413,DME,UFA,-767.0,True,338.0,False,S71137
5414,UFA,DME,-259.0,True,2148.0,False,S71132
5415,UFA,DME,187.0,False,1484.0,False,S71134
5416,UFA,DME,-813.0,True,1544.0,False,S71136
5417,UFA,DME,-119.0,True,1784.0,False,S71138
5418,DME,UUD,-1368.0,True,-741.0,True,5N561
5419,DME,UUD,-774.0,True,-463.0,True,S73031
5420,DME,UUD,-1445.0,True,-678.0,True,S73033
5421,UUD,DME,-1403.0,True,430.0,False,5N562
5422,UUD,DME,-843.0,True,1858.0,False,S73032
5423,UUD,DME,61.0,False,2085.0,False,S73034
5424,DME,ULV,-966.0,True,524.0,False,S71183
5425,ULV,DME,-90.0,True,1825.0,False,S71184
5426,DME,VOG,-3518.0,True,-2233.0,True,S72141
5427,DME,VOG,-1311.0,True,-80.0,True,S72143
5428,DME,VOG,-268.0,True,2385.0,False,S72145
5429,VOG,DME,-3493.0,True,-1770.0,True,S72142
5430,VOG,DME,-1002.0,True,627.0,False,S72144
5431,VOG,DME,142.0,False,1322.0,False,S72146
5432,DME,VOZ,-802.0,True,-100.0,True,S71111
5433,DME,VOZ,-74.0,True,956.0,False,S71113
5434,DME,VOZ,-58.0,True,440.0,False,S71115
5435,DME,VOZ,-1224.0,True,44.0,False,S71117
5436,VOZ,DME,-480.0,True,348.0,False,S71112
5437,VOZ,DME,0.0,False,904.0,False,S71114
5438,VOZ,DME,-900.0,True,950.0,False,S71116
5439,VOZ,DME,-120.0,True,683.0,False,S71118
5440,YKS,DME,-321.0,True,1423.0,False,S73006
5441,DME,SVX,-1235.0,True,-836.0,True,U6261
5442,DME,SVX,-1806.0,True,-1184.0,True,U6263
5443,DME,SVX,-1003.0,True,-288.0,True,U6265
5444,DME,SVX,-674.0,True,-318.0,True,U6269
5445,DME,SVX,-794.0,True,257.0,False,WZ421
5446,DME,SVX,16.0,False,1317.0,False,S71171
5447,DME,SVX,-447.0,True,256.0,False,S71175
5448,SVX,DME,-791.0,True,593.0,False,U6262
5449,SVX,DME,-924.0,True,1063.0,False,U6266
5450,SVX,DME,-190.0,True,1968.0,False,U6272
5451,SVX,DME,-2110.0,True,-578.0,True,U6274
5452,SVX,DME,-2662.0,True,-879.0,True,U6300
5453,BQS,SVX,-1.0,True,1180.0,False,U6300
5454,SVX,DME,-434.0,True,1914.0,False,WZ422
5455,SVX,DME,-785.0,True,1894.0,False,S71172
5456,SVX,DME,-1011.0,True,1201.0,False,S71176
5457,VIE,MXP,-26710.0,True,-24849.0,True,OZ789
5458,DME,VIE,-25710.0,True,-27243.0,True,OZ789
5459,DME,STN,-10633.0,True,-11822.0,True,OZ793
5460,ICN,DME,-7444.0,True,-3730.0,True,OZ795
5461,DME,DYU,-17107.0,True,-16977.0,True,SZ202
5462,DYU,DME,-15135.0,True,-13455.0,True,SZ201
5463,DME,SIP,-1069.0,True,-348.0,True,U633
5464,DME,SIP,-2872.0,True,-2143.0,True,U635
5465,DME,SIP,-1490.0,True,-694.0,True,U643
5466,DME,SIP,-3994.0,True,-3269.0,True,U645
5467,DME,SIP,-264.0,True,6.0,False,6R539
5468,DME,SIP,-1124.0,True,-459.0,True,U6521
5469,DME,SIP,-238.0,True,702.0,False,U6525
5470,DME,SIP,-1744.0,True,-1023.0,True,U6575
5471,DME,SIP,-353.0,True,574.0,False,WZ307
5472,DME,SIP,-327.0,True,584.0,False,S72001
5473,DME,SIP,-1051.0,True,402.0,False,S72005
5474,DME,SIP,-447.0,True,982.0,False,S72007
5475,DME,SIP,-553.0,True,975.0,False,S72009
5476,DME,SIP,-1967.0,True,-714.0,True,S72011
5477,DME,SIP,-925.0,True,491.0,False,S72013
5478,DME,SIP,-505.0,True,193.0,False,S72015
5479,DME,SIP,-2900.0,True,-2143.0,True,U62831
5480,DME,SIP,-711.0,True,-156.0,True,U62841
5481,SIP,DME,-3499.0,True,-2147.0,True,U636
5482,SIP,DME,-2444.0,True,-1094.0,True,U644
5483,SIP,DME,-485.0,True,497.0,False,6R540
5484,SIP,DME,-1209.0,True,304.0,False,U6522
5485,SIP,DME,-308.0,True,753.0,False,U6526
5486,SIP,DME,-2683.0,True,-1451.0,True,U6576
5487,SIP,DME,-636.0,True,789.0,False,WZ308
5488,SIP,DME,-311.0,True,1571.0,False,S72002
5489,SIP,DME,-7.0,True,2109.0,False,S72004
5490,SIP,DME,-495.0,True,1486.0,False,S72006
5491,SIP,DME,-789.0,True,1524.0,False,S72008
5492,SIP,DME,-301.0,True,2160.0,False,S72010
5493,SIP,DME,-1247.0,True,839.0,False,S72012
5494,SIP,DME,37.0,False,2462.0,False,S72014
5495,SIP,DME,-4017.0,True,-2189.0,True,U62832
5496,SIP,DME,-366.0,True,1583.0,False,U62842
5497,DME,SHJ,-720.0,True,-35.0,True,G9956
5498,SHJ,DME,18.0,False,1072.0,False,G9955
5499,DME,STN,-10633.0,True,-11822.0,True,OZ793
5500,VIE,FRA,-2908.0,True,-1213.0,True,KE537
5501,SVO,VIE,1184.0,False,-555.0,True,KE537
5502,SVO,AMS,9087.0,False,9009.0,False,RU451
5503,SVO,PEK,-971.0,True,912.0,False,RU421
5504,KJA,PVG,22781.0,False,507.0,False,RU157
5505,SVO,PVG,-1012.0,True,1699.0,False,SU208
5506,PVG,SVO,21331.0,False,7099.0,False,RU358
5507,SVO,PRG,-2060.0,True,-94.0,True,SU2012
5508,PRG,SVO,-979.0,True,794.0,False,SU2013
5509,SVO,CDG,-981.0,True,1879.0,False,SU2454
5510,CDG,SVO,-1465.0,True,1348.0,False,SU2455
5511,SVO,FRA,-1198.0,True,2230.0,False,RU417
5512,SVO,FRA,-2234.0,True,1766.0,False,SU2656
5513,FRA,SVO,-2329.0,True,1102.0,False,SU2657
5514,FRA,SVO,-1204.0,True,971.0,False,RU482
5515,SVO,ATH,-3258.0,True,-462.0,True,SU2110
5516,ATH,SVO,-3559.0,True,612.0,False,SU2111
5517,TLV,SVO,-4768.0,True,-223.0,True,SU501
5518,MXP,SVO,162.0,False,2968.0,False,RU552
5519,AMS,MXP,7357.0,False,10032.0,False,RU552
5520,HND,SVO,-1210.0,True,1449.0,False,JL49
5521,SVO,NRT,-778.0,True,1804.0,False,RU491
5522,SVO,OSS,-1120.0,True,-1591.0,True,SU1894
5523,OSS,SVO,-1619.0,True,-1104.0,True,SU1895
5524,SVO,RIX,-784.0,True,759.0,False,BT425
5525,RIX,SVO,-783.0,True,107.0,False,BT424
5526,AMS,SVO,8633.0,False,15082.0,False,RU428
5527,SVO,ABA,-318.0,True,792.0,False,SU1478
5528,ABA,SVO,-66.0,True,1633.0,False,SU1479
5529,SVO,AAQ,-557.0,True,475.0,False,SU1142
5530,SVO,AAQ,-694.0,True,452.0,False,SU1146
